complete_name,Acc_KN,SP_KN,EO_KN,PP_KN,Acc_DT,SP_DT,EO_DT,PP_DT,Acc_LR,SP_LR,EO_LR,PP_LR
S1A,0.8447999999999999,-0.0052853149210645,-0.0090806541298723,0.0148284520001059,0.7972,-0.0110472070902515,0.008196544817298,-0.0131981315649387,0.8564,-0.0096022168234185,-0.0087573087138685,0.0057997228379319
S1B0,0.7923000000000001,0.0082765954705735,0.0291975489455535,-8.257567042832259e-05,0.7379,-0.0057257383056692,-0.0031373563085557,0.0061978244247552,0.8073,-0.0107388369101956,0.0063219347543875,-0.0119867055193118
S1B1,0.7923000000000001,0.0082765954705735,0.0291975489455535,-8.257567042832259e-05,0.7319000000000001,-0.0056607441003972,-0.0013181275146283,0.0053031931762578,0.8073,-0.0107388369101956,0.0063219347543875,-0.0119867055193118
S1B10,0.7922,0.0080708341537011,0.0291975489455535,-0.0005521889300968,0.7374,-0.0082300720822826,-0.0053592947425487,0.0054157478931832,0.8072000000000001,-0.0129281931501436,0.0041856900644697,-0.0139405196818627
S1B11,0.7922,0.007672765144521,0.028753104501109,-0.0008707939794999,0.7377999999999999,-0.0077893241670334,-0.0062725442153496,0.0069558916402697,0.8072000000000001,-0.0129281931501436,0.0041856900644697,-0.0139405196818627
S1B2,0.7923000000000001,0.0082765954705735,0.0291975489455535,-8.257567042832259e-05,0.7373000000000001,-0.0136293058072822,-0.0117347436168949,0.0032722610795213,0.8070999999999999,-0.0111302398330793,0.0058871521456919,-0.0122953042145326
S1B3,0.7923000000000001,0.0082765954705735,0.0291975489455535,-8.257567042832259e-05,0.7363999999999999,-0.0109920766221285,-0.0098109185066032,0.0054893803540576,0.8070999999999999,-0.0111302398330793,0.0058871521456919,-0.0122953042145326
S1B4,0.7923000000000001,0.0082765954705735,0.0291975489455535,-8.257567042832259e-05,0.7373,-0.0056294364400391,-0.0012997319988797,0.0056036396359846,0.8070999999999999,-0.0111302398330793,0.0058871521456919,-0.0122953042145326
S1B5,0.7923000000000001,0.0082765954705735,0.0291975489455535,-8.257567042832259e-05,0.7378,-0.0086835508760157,-0.004213024045054,0.0034951778801379,0.8070999999999999,-0.0111302398330793,0.0058871521456919,-0.0122953042145326
S1B6,0.7923000000000001,0.0082765954705735,0.0291975489455535,-8.257567042832259e-05,0.7374,-0.0078050938502106,-0.0040299983387948,0.0046939896396469,0.807,-0.0117216918892439,0.0046041001063107,-0.0120631969997918
S1B7,0.7923000000000001,0.0082765954705735,0.0291975489455535,-8.257567042832259e-05,0.7379999999999999,-0.0074856676295438,-0.0017692255875828,0.0032103959790043,0.8071999999999999,-0.0121308284354286,0.0046041001063107,-0.0128966319514467
S1B8,0.7924,0.0080842877782658,0.028753104501109,7.154114732935146e-06,0.7375,-0.0076338071188616,-0.0022691849364116,0.0031664486145936,0.8071999999999999,-0.0121308284354286,0.0046041001063107,-0.0128966319514467
S1B9,0.7923000000000001,0.0082765954705735,0.0291975489455535,-8.257567042832259e-05,0.7375999999999999,-0.007045295294313,-0.0031009868895336,0.0050362011965288,0.8070999999999999,-0.0127336406209608,0.0041856900644697,-0.0135908693322123
S1C,0.6072,0.0956821317164749,0.0847516693566844,0.0315400128775033,0.6211,0.0175081443026308,0.0223530436215138,0.0100612396605304,0.6211,0.0175081443026308,0.0223530436215138,0.0100612396605304
S1D0,0.8445657854233332,0.0199226102515344,0.0244090522758272,0.0171315229563656,0.8017696454266263,-0.0020050613146483,0.0021919663359214,-0.0025744100716685,0.8532611730343834,0.0015437590774442,-0.0072536387365683,0.0121781717476919
S1D1,0.845834788808552,0.0163233835624426,0.0132693104459648,0.0162096009484891,0.8003720433915044,-0.0036756623142144,0.0036964545244272,-0.0109489488550734,0.8555746694675591,0.006300457396007,-0.0015713173736184,0.0090430023508386
S1D2,0.8433252680041671,-0.0030941955660263,-0.0443435375683569,0.0062612816386159,0.7987982659542292,0.0139719633752354,-0.0152256031025793,0.0171100781596714,0.8535863830359244,0.0299545388926138,-0.0070146459332633,0.033011635646943
S1D3,0.8445017964071857,-0.0699647358923161,-0.0623323200651587,-0.0398710035928555,0.7919401197604791,-0.0172618363263621,0.0995244940237853,0.0480735546098075,0.856490618762475,-0.1054133530747959,-0.1066710571148303,-0.0471512435587565
S1D4,0.8465791583166332,-0.0988400985846994,-0.1107967396712508,-0.0349390252824933,0.7965090180360722,-0.0240522452450452,0.0778425189213871,-0.079555583673097,0.857595991983968,-0.0243228028595523,-0.0507966595824544,-0.0627816919518718
S1D5,0.8432692694626199,-0.0487206177935615,-0.0898367746773871,-0.0414193586496369,0.8043387980780838,0.0255449508546606,0.0714547553601521,-0.0351831916999421,0.857316641314758,-0.0745452584052135,-0.1405488913367691,-0.0463629426771355
S1D6,0.8438084150061661,-0.2486079288081082,-0.0417156286721503,-0.1415337877963765,0.7985189361978321,-0.2638574928635028,0.2034534534534534,-0.2269511695589773,0.8574917245407931,-0.2746349898213197,-0.0909714061887975,-0.146959264179492
S1E0,0.8452,-0.0146698973396154,-0.0074785000828341,0.0095472730034671,0.7999,-0.0186222941618568,0.0103182201952117,-0.0137566223904858,0.8556999999999999,-0.0199829644096267,-0.0145987600589276,0.0079065628527951
S1E1,0.8476000000000001,-0.0513995418373057,-0.0180180742849258,0.0052003653917528,0.7988999999999999,-0.04646601245263,0.0054170011639081,7.09304222271695e-05,0.8565999999999999,-0.0527731122977441,-0.02006115591869,0.0096115371872532
S1E10,0.8982000000000001,-0.62947757024447,-0.1752627799925761,0.063291966003309,0.8676999999999999,-0.606044297901816,-0.1547250827349635,0.1660896265137467,0.9069000000000004,-0.6512309292489982,-0.169761170800462,0.0657137426072392
S1E11,0.9036,-0.6871101988747742,-0.2039057048278144,0.0886698855730316,0.8774999999999998,-0.6612620094706982,-0.1775638294942034,0.1837062417733476,0.9131,-0.7120970211777621,-0.1880439301469014,0.079063299000323
S1E2,0.8488999999999999,-0.0888283751247989,-0.0274649621818996,0.0203258380560023,0.8019999999999999,-0.0896410534102899,-0.0181632115234626,0.0253723841094647,0.8581,-0.0994466890741144,-0.043098526151993,0.0240860509383709
S1E3,0.8532,-0.1309371656778799,-0.0331394430137614,0.0161675402909087,0.8123999999999999,-0.1301798239124413,-0.0310375714108468,0.0386842838668935,0.8619999999999999,-0.1472210995481515,-0.0482990414403237,0.0142401521162691
S1E4,0.8534,-0.1806355463461673,-0.0509021645563933,0.0155219973655318,0.8166,-0.1796462859797035,-0.0443894473404397,0.0415793320518353,0.8642,-0.1971672267819662,-0.0636703288272863,0.0149307349158592
S1E5,0.8583999999999999,-0.2682231740752675,-0.0567814248613748,0.0095906471557557,0.8190000000000002,-0.2627459751940602,-0.0566513417763892,0.0530554247543946,0.8719999999999999,-0.2881717141016037,-0.0812899250675255,0.007297285466247
S1E6,0.8654999999999999,-0.3536977749392835,-0.0935763625929121,0.0366690446950325,0.8313999999999998,-0.3442894879359436,-0.0834483668710761,0.0836955186495476,0.8766,-0.374218044469866,-0.108160788537542,0.0267120979084565
S1E7,0.8723000000000001,-0.4447825252031515,-0.1324633763713978,0.0312209221747879,0.8379,-0.425330869692521,-0.0859864346399526,0.0811938948060653,0.8823000000000001,-0.4535420621849626,-0.1285920774512595,0.0411952344677001
S1E8,0.8788,-0.5090661526003436,-0.1490804307653627,0.0467617309707827,0.843,-0.4858649250972382,-0.1115728832127413,0.115221919594897,0.8901,-0.5187454009940222,-0.1438488249737111,0.0565057925247343
S1E9,0.8881,-0.5659730578680471,-0.1645935132499658,0.0626207780463634,0.8523,-0.5456409681795382,-0.1291706131308002,0.1355860585274955,0.8993000000000002,-0.5839038300827217,-0.1484428788813588,0.0506636277244403
S1F0,0.8338097720592315,-0.0623307605308638,-0.0582981001235574,0.057671458532492,0.7808306804947035,-0.075341204142691,-0.0743105255184947,0.0568393079254305,0.8432855637513171,-0.0689492078251296,-0.0605408804202967,0.0507905639122014
S1F1,0.8219234060048448,-0.1967054172435126,-0.1920823244028592,0.1374162092294878,0.7734805931506544,-0.1825692206016909,-0.198735318965216,0.1946766250374237,0.832294791875014,-0.2040879612972453,-0.1791087335915474,0.1271405906196248
S1F2,0.8297210231299529,-0.3224386890420005,-0.3325603700290018,0.1836356937759177,0.7854514313940253,-0.2857594282479893,-0.2945983759993774,0.2902512620247456,0.8444356749636693,-0.3320254173812675,-0.303628713516242,0.1608802452091347
S1F3,0.8487656772625263,-0.4075922594244012,-0.4769954616963929,0.2690050675894076,0.8003684545484997,-0.3757286267147891,-0.4239698347372574,0.4375089501553503,0.8583521946971256,-0.4452057768213757,-0.5321496083237877,0.2650793463183426
S2A0,0.8452,-0.0146698973396154,-0.0074785000828341,0.0095472730034671,0.8027999999999998,-0.0136054908456132,0.0073803542725818,-0.0007630558862466,0.8555999999999999,-0.0201821675968777,-0.0145987600589276,0.0075161880930257
S2A1,0.8476000000000001,-0.0513995418373057,-0.0180180742849258,0.0052003653917528,0.7986000000000001,-0.0468322352178347,-0.0029009783696051,0.0074298274560801,0.8565999999999999,-0.0527731122977441,-0.02006115591869,0.0096115371872532
S2A10,0.8982000000000001,-0.62947757024447,-0.1752627799925761,0.063291966003309,0.8674999999999999,-0.6072937831792444,-0.159983585599243,0.1705974526918222,0.9066,-0.6526476126724601,-0.1730745771663015,0.064515705460375
S2A11,0.9036,-0.6871101988747742,-0.2039057048278144,0.0886698855730316,0.8791,-0.6618161246811849,-0.1722050703514749,0.1754486506717452,0.9132,-0.7122916471898892,-0.1891428312458025,0.0784566657322836
S2A2,0.8488999999999999,-0.0888283751247989,-0.0274649621818996,0.0203258380560023,0.8029,-0.0962939503838585,-0.0341728495765968,0.0288914992570797,0.858,-0.100436876411076,-0.0450039112284812,0.0239556298905033
S2A3,0.8532,-0.1309371656778799,-0.0331394430137614,0.0161675402909087,0.8082,-0.1298093283866782,-0.034700668686831,0.0421964343871061,0.8622,-0.1492252147945161,-0.0504952533148289,0.0123940800708106
S2A4,0.8534,-0.1806355463461673,-0.0509021645563933,0.0155219973655318,0.8177,-0.180737336965777,-0.043806379438554,0.0399987217091579,0.8641,-0.1973606503796451,-0.0642138070881558,0.0150137858759283
S2A5,0.8583999999999999,-0.2682231740752675,-0.0567814248613748,0.0095906471557557,0.8173999999999999,-0.2659669928512988,-0.0588563220977867,0.0481328375165462,0.8717,-0.289180673710836,-0.0833735231548478,0.0072499804707025
S2A6,0.8654999999999999,-0.3536977749392835,-0.0935763625929121,0.0366690446950325,0.8291999999999999,-0.3443374290633685,-0.0906898150666623,0.0906204358342039,0.8764999999999998,-0.3748259375696842,-0.1089544393311928,0.0258775258847095
S2A7,0.8723000000000001,-0.4447825252031515,-0.1324633763713978,0.0312209221747879,0.8401,-0.4243731466729046,-0.0864696035145338,0.0814285448533511,0.8821999999999999,-0.4545610341760419,-0.1300556177481735,0.0408648131701917
S2A8,0.8788,-0.5090661526003436,-0.1490804307653627,0.0467617309707827,0.8417999999999999,-0.4875358575964966,-0.1202958378254045,0.1208098259081195,0.8901999999999999,-0.5197510241914514,-0.1444157657420523,0.0553242788662685
S2A9,0.8881,-0.5659730578680471,-0.1645935132499658,0.0626207780463634,0.852,-0.549299499412107,-0.1398500482457742,0.1369991422492383,0.8995,-0.5850852858176581,-0.1492975797360596,0.0473311792238835
S3A0,0.8452,-0.0146698973396154,-0.0074785000828341,0.0095472730034671,0.7999,-0.0186222941618568,0.0103182201952117,-0.0137566223904858,0.8556999999999999,-0.0199829644096267,-0.0145987600589276,0.0079065628527951
S3A1,0.8476000000000001,-0.0513995418373057,-0.0180180742849258,0.0052003653917528,0.7988999999999999,-0.04646601245263,0.0054170011639081,7.09304222271695e-05,0.8565999999999999,-0.0527731122977441,-0.02006115591869,0.0096115371872532
S3A10,0.8982000000000001,-0.62947757024447,-0.1752627799925761,0.063291966003309,0.8676999999999999,-0.606044297901816,-0.1547250827349635,0.1660896265137467,0.9069000000000004,-0.6512309292489982,-0.169761170800462,0.0657137426072392
S3A11,0.9036,-0.6871101988747742,-0.2039057048278144,0.0886698855730316,0.8774999999999998,-0.6612620094706982,-0.1775638294942034,0.1837062417733476,0.9131,-0.7120970211777621,-0.1880439301469014,0.079063299000323
S3A2,0.8488999999999999,-0.0888283751247989,-0.0274649621818996,0.0203258380560023,0.8019999999999999,-0.0896410534102899,-0.0181632115234626,0.0253723841094647,0.8581,-0.0994466890741144,-0.043098526151993,0.0240860509383709
S3A3,0.8532,-0.1309371656778799,-0.0331394430137614,0.0161675402909087,0.8123999999999999,-0.1301798239124413,-0.0310375714108468,0.0386842838668935,0.8619999999999999,-0.1472210995481515,-0.0482990414403237,0.0142401521162691
S3A4,0.8534,-0.1806355463461673,-0.0509021645563933,0.0155219973655318,0.8166,-0.1796462859797035,-0.0443894473404397,0.0415793320518353,0.8642,-0.1971672267819662,-0.0636703288272863,0.0149307349158592
S3A5,0.8583999999999999,-0.2682231740752675,-0.0567814248613748,0.0095906471557557,0.8190000000000002,-0.2627459751940602,-0.0566513417763892,0.0530554247543946,0.8719999999999999,-0.2881717141016037,-0.0812899250675255,0.007297285466247
S3A6,0.8654999999999999,-0.3536977749392835,-0.0935763625929121,0.0366690446950325,0.8313999999999998,-0.3442894879359436,-0.0834483668710761,0.0836955186495476,0.8766,-0.374218044469866,-0.108160788537542,0.0267120979084565
S3A7,0.8723000000000001,-0.4447825252031515,-0.1324633763713978,0.0312209221747879,0.8379,-0.425330869692521,-0.0859864346399526,0.0811938948060653,0.8823000000000001,-0.4535420621849626,-0.1285920774512595,0.0411952344677001
S3A8,0.8788,-0.5090661526003436,-0.1490804307653627,0.0467617309707827,0.843,-0.4858649250972382,-0.1115728832127413,0.115221919594897,0.8901,-0.5187454009940222,-0.1438488249737111,0.0565057925247343
S3A9,0.8881,-0.5659730578680471,-0.1645935132499658,0.0626207780463634,0.8523,-0.5456409681795382,-0.1291706131308002,0.1355860585274955,0.8993000000000002,-0.5839038300827217,-0.1484428788813588,0.0506636277244403
S4A0,0.8541000000000001,-0.0119265538477472,0.0278574048216417,-0.0009836185854233,0.8055,-0.0284019022312209,0.0011351988526231,-0.0023703475461841,0.8631,-0.035414233137685,-0.0017086331896782,-0.0160569679448937
S4A1,0.8545,-0.0590949092818523,0.0061496784419028,0.0120488368944013,0.8078999999999998,-0.0754805071517115,-0.0157437646263835,0.0124153222454489,0.8654999999999999,-0.0835582919476572,-0.0178939568256318,-0.0071018798564161
S4A10,0.8534,-0.2911307963959043,-0.0922833894649968,0.0316571500699998,0.8118000000000001,-0.2795674787717538,-0.091744485087742,0.098085871454102,0.8684999999999998,-0.3072562857602517,-0.1057481193924417,0.0303993860360477
S4A11,0.8533,-0.2917262294161055,-0.0928265511800824,0.0312464799129424,0.8112999999999999,-0.2793676450229195,-0.0915805498542114,0.098714510619837,0.8680999999999999,-0.3080483389038032,-0.1062434684097571,0.0300191004514613
S4A2,0.8482,-0.1266966349056132,-0.0446026411381941,0.0306260282737542,0.8068,-0.1353702635788355,-0.0448195099625093,0.0356812384192329,0.8635999999999999,-0.1445215589452255,-0.0478674585717593,0.0101689092035396
S4A3,0.8524999999999998,-0.1774663591648713,-0.0492263860012962,0.0236204760122641,0.8125,-0.1829541750773818,-0.0526765354971437,0.0466564813541047,0.8665999999999998,-0.1938524801543309,-0.0581042093320094,0.0183940453438322
S4A4,0.8479000000000001,-0.2171593019541566,-0.0636670930464476,0.0140955721063759,0.8075000000000001,-0.2143653353345299,-0.0696704973256089,0.0653515385813102,0.8642,-0.2304588633555706,-0.0719266972090585,0.0211652464510567
S4A5,0.8529,-0.2617041376981895,-0.0851968913216215,0.027614172766701,0.8121,-0.2530788170443209,-0.0821403971592214,0.0881553439310432,0.8685,-0.2786667635274699,-0.0937167670206615,0.0274786952510686
S4A6,0.8507999999999999,-0.2802913425215199,-0.0907770862866904,0.0326634048953494,0.8101,-0.2687961320828204,-0.0904983494777687,0.1007121096546234,0.8674,-0.2964023973999697,-0.0991362465970301,0.0282994281477568
S4A7,0.8519,-0.2875217598982247,-0.095168544991209,0.0345054888448921,0.8089000000000001,-0.2751512060625743,-0.0933920422965156,0.1003519397436048,0.8667999999999999,-0.3039990369036585,-0.1086402771470476,0.0319685297769809
S4A8,0.8537000000000001,-0.2891080157859175,-0.0915358388118509,0.0317336448750269,0.8112,-0.2789291894180594,-0.0929508424866701,0.0981509640031762,0.8681000000000001,-0.3054389746817605,-0.1041358310472316,0.0301060032715916
S4A9,0.8535,-0.2905347444053971,-0.0934631049147081,0.0322369490354011,0.8106,-0.2787543914971742,-0.0931053034634223,0.0994415210232233,0.8683,-0.3064431955144734,-0.1056106689553998,0.0301452022261649
